일시,평균기온,최고기온,최저기온
20170627000000,25.2,30.5,20.8
20170628000000,26.0,30.5,22.5
20170629000000,26.2,31.5,21.9
20170630000000,25.9,30.9,22.2
20170701000000,25.3,30.7,22.4
20170702000000,24.3,26.8,21.9
20170703000000,24.7,27.4,21.9
20170704000000,26.7,31.6,23.8
20170705000000,27.4,32.6,23.3
20170706000000,27.6,34.6,23.9
20170707000000,26.4,28.4,24.4
20170708000000,26.0,27.6,24.6
20170709000000,26.3,30.3,23.8
20170710000000,24.0,25.4,22.6
20170711000000,26.0,30.9,22.2
20170712000000,27.1,31.1,24.9
20170713000000,27.6,32.1,23.1
20170714000000,28.7,33.0,26.1
20170715000000,25.0,27.3,23.4
20170716000000,26.2,28.8,23.4
20170717000000,26.8,29.0,24.0
20170718000000,26.5,30.7,23.9
20170719000000,28.3,34.1,24.5
20170720000000,29.9,34.9,26.0
20170721000000,29.8,32.4,27.3
20170722000000,29.3,32.5,27.5
20170723000000,27.0,28.1,26.1
20170724000000,26.2,27.3,25.6
20170725000000,29.4,35.4,24.6
20170726000000,28.7,32.8,24.2
20170727000000,27.1,29.7,24.9
20170728000000,25.5,26.9,24.8
20170729000000,27.2,30.1,25.0
20170730000000,27.9,32.6,24.7
20170731000000,25.7,27.1,24.8
20170801000000,28.6,33.0,24.1
20170802000000,30.0,33.0,26.6
20170803000000,30.2,33.9,27.2
20170804000000,30.3,35.3,25.9
20170805000000,31.4,34.8,27.6
20170806000000,29.8,34.0,28.2
20170807000000,29.2,34.4,26.4
20170808000000,28.2,31.0,25.5
20170809000000,27.6,32.0,24.6
20170810000000,24.8,26.3,23.9
20170811000000,27.0,32.4,23.9
20170812000000,27.8,32.6,23.2
20170813000000,26.3,28.4,24.2
20170814000000,24.6,27.1,23.1
20170815000000,21.9,24.0,20.8
20170816000000,23.3,26.8,20.5
20170817000000,24.8,27.7,21.2
20170818000000,26.3,30.6,23.9
20170819000000,26.1,28.7,23.1
20170820000000,23.2,25.8,22.0
20170821000000,25.8,29.2,23.7
20170822000000,27.3,31.5,23.4
20170823000000,27.2,30.2,24.6
20170824000000,26.5,28.1,23.9
20170825000000,25.3,30.6,22.2
20170826000000,24.2,29.2,19.0
20170827000000,22.7,26.7,19.0
20170828000000,21.5,26.5,18.3
20170829000000,19.5,24.0,17.0
20170830000000,19.8,23.9,16.1
20170831000000,22.2,27.6,16.6
20170901000000,23.3,29.7,17.1
20170902000000,23.8,29.6,18.6
20170903000000,23.7,29.2,19.0
20170904000000,24.6,30.1,19.7
20170905000000,21.9,23.7,20.4
20170906000000,20.6,24.0,18.5
20170907000000,22.4,27.5,17.8
20170908000000,24.3,29.9,20.4
20170909000000,23.8,28.2,19.2
20170910000000,23.0,26.1,19.9
20170911000000,21.2,24.6,18.6
20170912000000,22.1,27.9,17.7
20170913000000,21.4,27.5,15.9
20170914000000,22.4,29.5,14.8
20170915000000,22.6,27.9,17.8
20170916000000,22.0,27.6,16.7
20170917000000,23.1,29.2,19.0
20170918000000,21.9,27.6,16.4
20170919000000,22.6,25.8,20.1
20170920000000,19.5,24.9,14.1
20170921000000,20.3,27.0,14.2
20170922000000,20.6,26.8,15.4
20170923000000,21.8,27.3,17.6
20170924000000,22.4,27.9,18.8
20170925000000,23.4,30.1,17.4
20170926000000,25.1,31.4,19.4
20170927000000,22.7,27.3,19.9
20170928000000,19.2,25.3,14.2
20170929000000,17.4,23.5,11.2
20170930000000,20.0,25.9,14.7
20171001000000,18.2,21.2,15.5
20171002000000,22.0,29.4,15.6
20171003000000,17.6,23.6,13.4
20171004000000,16.7,24.3,10.7
20171005000000,18.7,23.4,13.9
20171006000000,18.9,23.3,16.2
20171007000000,21.9,28.8,16.9
20171008000000,23.0,28.7,19.3
20171009000000,22.5,27.6,19.8
20171010000000,21.4,24.8,18.6
20171011000000,15.5,21.7,12.2
20171012000000,11.4,20.5,8.8
20171013000000,12.8,18.9,6.1
20171014000000,14.4,20.5,9.0
20171015000000,15.8,23.0,9.0
20171016000000,16.6,22.0,13.6
20171017000000,16.2,23.9,9.2
20171018000000,16.5,19.1,14.2
20171019000000,17.0,23.2,11.9
20171020000000,17.0,24.2,11.1
20171021000000,17.6,25.2,11.0
20171022000000,16.3,23.5,11.0
20171023000000,13.7,20.6,8.6
20171024000000,14.4,20.9,9.9
20171025000000,14.4,20.6,9.5
20171026000000,14.5,18.1,10.7
20171027000000,16.9,24.2,11.9
20171028000000,17.2,24.8,10.6
20171029000000,11.5,17.2,6.3
20171030000000,7.7,13.2,2.5
20171031000000,10.4,16.0,3.6
20171101000000,14.4,18.1,11.5
20171102000000,15.5,18.0,14.0
20171103000000,12.3,16.6,6.1
20171104000000,7.8,13.7,4.5
20171105000000,8.4,15.4,2.6
20171106000000,11.4,16.5,8.0
20171107000000,14.4,18.4,9.2
20171108000000,13.1,17.2,6.9
20171109000000,9.4,16.8,3.7
20171110000000,9.8,15.9,5.3
20171111000000,5.9,10.7,2.7
20171112000000,5.3,11.4,0.3
20171113000000,8.4,11.8,3.1
20171114000000,7.5,11.4,2.9
20171115000000,3.2,6.5,-1.1
20171116000000,1.0,6.4,-3.4
