"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		108",서울,2020-04-27,2.8,5.5,290,15:41,11.2,270,16:20
"		108",서울,2020-04-28,3,5.5,230,12:04,10,250,14:56
"		108",서울,2020-04-29,2.6,5.2,320,14:12,8.6,290,13:49
"		108",서울,2020-04-30,2.7,5.9,290,15:17,10,230,22:36
"		108",서울,2020-05-01,2.7,5.5,290,17:26,9.9,290,17:52
"		108",서울,2020-05-02,2.3,4.6,230,1:11,7.6,290,14:37
"		108",서울,2020-05-03,2,3.9,160,12:42,7.2,140,12:24
"		108",서울,2020-05-04,2.7,4.6,270,12:47,8.7,270,13:17
"		108",서울,2020-05-05,1.9,5.3,250,13:54,8.8,230,13:46
"		108",서울,2020-05-06,2.1,4.4,320,16:23,8,20,15:38
"		108",서울,2020-05-07,2.5,4.3,90,3:19,9.5,140,9:30
"		108",서울,2020-05-08,2.4,4.5,290,15:14,7.9,290,15:29
"		108",서울,2020-05-09,3.6,5.9,90,6:15,11,90,3:33
"		108",서울,2020-05-10,2.5,4.1,250,15:56,7.1,250,15:34
"		108",서울,2020-05-11,3,5.6,290,14:56,10.1,250,14:24
"		108",서울,2020-05-12,2.9,5.4,320,19:07,12.2,230,16:41
"		108",서울,2020-05-13,2.8,6.5,290,16:13,12.1,290,13:04
"		108",서울,2020-05-14,2,4.3,340,15:57,6.9,290,13:52
"		108",서울,2020-05-15,3,5.3,180,4:32,13.2,160,4:25
"		108",서울,2020-05-16,1.6,3.3,90,0:01,4.9,70,0:10
"		108",서울,2020-05-17,1.7,4.3,320,4:56,7.7,340,4:48
"		108",서울,2020-05-18,2.4,7.2,290,16:07,16.4,290,15:56
"		108",서울,2020-05-19,3.2,7.2,70,14:36,12.9,70,15:03
"		108",서울,2020-05-20,1.9,3,90,21:10,6,50,12:07
"		108",서울,2020-05-21,2.1,3.3,90,6:09,6.1,90,5:39
"		108",서울,2020-05-22,1.9,4.9,290,17:42,8,160,9:50
"		108",서울,2020-05-23,2.2,4.7,270,17:03,8.3,290,17:03
"		108",서울,2020-05-24,2.9,6.5,270,7:27,12.8,270,7:28
"		108",서울,2020-05-25,2.1,3.8,290,16:23,6,250,14:24
"		108",서울,2020-05-26,2.1,5.4,320,15:11,8.8,320,15:03
"		108",서울,2020-05-27,2.6,5.9,290,18:04,9.3,290,16:23
"		108",서울,2020-05-28,1.9,3.9,290,13:38,7.3,270,13:32
"		108",서울,2020-05-29,2,4.1,180,14:52,6.7,180,14:49
"		108",서울,2020-05-30,1.9,4.3,320,17:25,7,340,17:24
"		108",서울,2020-05-31,2.3,5.7,320,19:01,8.6,340,18:57
"		108",서울,2020-06-01,3.4,6.2,290,12:39,12.3,320,12:05
"		108",서울,2020-06-02,2.2,4.1,250,16:29,9.1,160,13:40
"		108",서울,2020-06-03,2.4,5.6,290,20:05,8.8,290,19:48
"		108",서울,2020-06-04,2.7,4.7,270,14:29,7.7,250,14:16
"		108",서울,2020-06-05,1.8,3.8,290,18:45,6.7,320,18:26
"		108",서울,2020-06-06,2,4.4,290,17:30,7.8,290,16:46
"		108",서울,2020-06-07,2.3,5.1,200,11:10,7.3,180,11:05
